SA2_CODE21,SA2_NAME21,sum_ptv_trips
212011549,Pakenham - North East,2326
212011550,Pakenham - North West,443
212011551,Pakenham - South East,6806
212011552,Pakenham - South West,6673
212021293,Berwick - North,16812
212021295,Doveton,4442
212021297,Hallam,7115
212021299,Narre Warren North,1458
212021453,Endeavour Hills - North,4406
212021454,Endeavour Hills - South,6728
212021455,Narre Warren - North East,4130
212021456,Narre Warren - South West,11279
212021553,Berwick - South East,5890
212021554,Berwick - South West,3618
212031300,Cranbourne,15571
212031303,Cranbourne South,2694
212031304,Cranbourne West,4416
212031306,Lynbrook - Lyndhurst,8104
212031308,Pearcedale - Tooradin,862
212031457,Narre Warren South - East,5079
212031458,Narre Warren South - West,6394
212031555,Clyde North - North,1831
212031556,Clyde North - South,3715
212031557,Cranbourne East - North,6458
212031558,Cranbourne East - South,701
212031559,Cranbourne North - East,2852
212031560,Cranbourne North - West,4186
212031561,Hampton Park - East,5266
212031562,Hampton Park - West,5378
212041309,Clarinda - Oakleigh South,13303
212041310,Clayton South,9214
212041312,Dandenong North,14484
212041313,Dingley Village,6711
212041316,Noble Park North,1917
212041317,Springvale,34382
212041318,Springvale South,18344
212041459,Noble Park - East,7996
212041460,Noble Park - West,6817
212041563,Dandenong - North,42901
212041564,Dandenong - South,58949
212041565,Keysborough - North,10038
212041566,Keysborough - South,12020
212051319,Ashwood - Chadstone,31565
212051321,Glen Waverley - East,41732
212051322,Glen Waverley - West,50669
212051323,Mount Waverley - North,13228
212051324,Mount Waverley - South,25603
212051325,Mulgrave,33590
212051326,Oakleigh - Huntingdale,78479
212051327,Wheelers Hill,20598
212051567,Clayton (North) - Notting Hill,23512
212051568,Clayton - Central,15554
213011328,Ardeer - Albion,34975
213011329,Cairnlea,4709
213011331,Delahey,9129
213011332,Keilor Downs,14443
213011333,Kings Park (Vic.),12747
213011334,St Albans - North,22873
213011335,St Albans - South,20443
213011336,Sunshine,121694
213011337,Sunshine North,36634
213011338,Sunshine West,46203
213011339,Sydenham,10825
213011340,Taylors Lakes,25957
213011569,Deer Park,45095
213011570,Derrimut,5869
213021341,Altona,47694
213021342,Altona Meadows,20975
213021343,Altona North,83177
213021344,Newport,37746
213021345,Seabrook,3960
213021346,Williamstown,27934
213031347,Braybrook,101929
