stop_id,stop_lat,stop_lon,count
42624,-38.2025512958913,146.523913580922,28
42625,-38.2011769519594,146.529518843784,61
42631,-38.1916882438661,146.518765566319,71
42633,-38.2081467468862,146.55576775317,62
42634,-38.2071653557241,146.556025001654,1
42635,-37.7130602566669,145.148219912389,1380
42636,-38.2034870358204,146.555704699683,1
42637,-37.7205325152703,145.146003022677,1482
42748,-38.2013037483146,146.543371786044,66
42750,-37.9539482251258,145.152088722168,1439
42751,-37.6448130542903,145.06911715971,140
42752,-37.6454282163712,145.06925990373,146
42753,-38.105977639702,145.140212577288,15
42754,-38.1043958451259,145.140480782369,15
42755,-38.1007249422106,145.144838961477,15
42756,-38.1013460815082,145.151084128169,15
42757,-38.1000404154116,145.151721449045,15
42758,-38.0977361135984,145.160503261364,15
42759,-38.0983757219531,145.165675909786,15
42760,-38.0989608322076,145.170257012649,15
42761,-38.0994948864231,145.171566542898,15
42762,-38.0985642866164,145.165055392529,15
42763,-38.0383039348213,145.109942058257,1305
42764,-38.0977693445888,145.158598025424,15
42765,-38.1000677982757,145.15174356697,15
42766,-38.1013338775682,145.150308953621,15
42767,-38.1007260224038,145.144907358433,15
42782,-38.1645617846976,145.931599546616,1
43122,-38.2282194242094,146.418051316197,55
43139,-38.3068519594072,146.416142543831,70
43140,-38.3044733709378,146.416275983048,70
43145,-38.2271357499058,146.412187471721,53
43152,-38.1987872670695,146.552215689617,61
43156,-38.2230749054853,146.414744946685,53
43170,-38.26661281491,146.487750115112,1
43188,-38.2727626054801,146.480310261825,1
43200,-38.2248608886694,146.431559226526,55
43216,-38.1981479642062,146.561927102176,61
43217,-38.1985355217295,146.566789976263,61
43218,-38.1942055841478,146.570629899583,61
43220,-38.1926775714889,146.574236087979,61
43223,-38.1954021293826,146.577497811437,61
43232,-38.2250589890976,146.431523410673,55
43236,-38.2231212756733,146.415007337027,55
43237,-38.2268594634032,146.412806645874,55
43242,-38.2261857868793,146.435307713232,55
43256,-38.2327182422909,146.400465242225,53
43257,-38.2328806342229,146.400498186812,55
43260,-38.2298004676498,146.409800952315,53
43261,-38.2297663719813,146.410189693676,55
43281,-38.2723837424408,146.480232936707,1
43284,-38.2218996957607,146.434232693974,55
43286,-38.2221703345975,146.434287719408,55
43317,-38.192137335716,146.25309775862,55
43318,-38.1917353180645,146.2494133878,55
43331,-38.1845912769871,146.241436787705,55
43333,-38.1843673569394,146.250071328498,55
43337,-38.1762829113106,146.28765914017,67
43338,-38.1764353522524,146.287532068395,67
43339,-38.1907519518086,146.245038478273,55
43340,-38.188664144406,146.24551678781,55
43342,-38.1870476537911,146.242210621984,55
43343,-38.1882989806759,146.240599012741,55
43365,-37.6288171981968,145.079094863057,438
43366,-37.6302427189658,145.084180029325,438
43367,-37.6314560951752,145.087310430899,438
43368,-37.6321902149721,145.092017002521,438
43369,-37.6323427445013,145.093089632614,396
43370,-37.6319169731717,145.088499788999,396
43371,-37.6302611037584,145.084202220367,396
43372,-37.629142635856,145.079709711081,396
43373,-37.6300194770722,145.093205674182,438
43374,-37.6273905056616,145.092808284274,438
43375,-37.6227991515318,145.092551726003,438
43376,-37.6229184593537,145.092684642149,396
43377,-37.6275857614733,145.092621994336,396
43378,-37.6301132237856,145.093429909576,396
43379,-37.6128277166339,145.092308062569,276
43380,-37.6127832235912,145.092343186363,240
43385,-37.5983121024596,145.089156251735,72
43386,-37.5933547793271,145.090789415536,276
43388,-37.5986259325978,145.089057608674,168
43389,-37.5913641372041,145.099787580383,276
43390,-37.5912792311605,145.099551900583,240
43392,-37.5911495013285,145.120145285876,154
43393,-37.5912060783921,145.120302422191,152
43400,-37.5883527371722,145.116568914808,74
43403,-37.0262262471989,145.138389002516,38
43404,-37.8251488116024,145.174541150454,1560
43405,-37.0201050606112,145.135436084852,14
43406,-37.017123764088,145.134418690366,14
43407,-37.0141300165433,145.144674804687,14
43409,-37.0141764848767,145.14649446228,14
43410,-37.8227945478482,145.174985436197,1380
43411,-37.0164739524982,145.146438644319,14
43412,-37.0181960289907,145.146475481735,14
43413,-37.016909642433,145.151834420873,14
43414,-37.8206114440792,145.175425475887,1395
43415,-37.0149305417621,145.159615181439,15
43416,-37.5884826527788,145.116803471056,170
43417,-37.0161598127076,145.15461756118,14
43418,-37.0169280118958,145.15185645554,11
43420,-37.0279652271704,145.069560488352,13
43422,-37.0272760700131,145.157136455411,7
43423,-37.0305732042482,145.156449709514,7
43425,-37.0345597090823,145.155465160717,7
43426,-37.0333305263942,145.150615754491,3
43427,-37.0299198099694,145.1451787786,3
43428,-37.9403398434476,145.475867378338,50
43429,-37.9601942286895,145.371021157762,52
43430,-37.9362708117118,145.487387360503,50
43432,-37.7105863606221,145.117777761309,1355
43433,-37.7084172030235,145.111752508601,3329
43438,-37.6857573512797,145.07311346195,148
43439,-37.6856608534141,145.076585998108,148
43440,-37.6834305709161,145.075770456429,148
43441,-37.6809487299373,145.074451196314,148
43442,-37.6794235363272,145.072665046461,148
43443,-37.6816594799652,145.071620650839,430
43444,-37.6821456851369,145.06994116022,748
43452,-37.807814042513,145.035369359218,14
43453,-37.8213458309529,145.023820325877,4
43454,-37.8209129848051,145.02649025211,2
43455,-37.7942913193598,145.030219726853,8
43456,-37.8091858435833,145.029017498513,2
43457,-37.8192800324525,145.026919998518,2
43458,-37.6818665790269,144.90930496926,2837
43459,-37.6808961067024,144.899830161971,2678
43460,-37.6810498306628,144.89228540719,2678
43461,-37.6850646905798,144.882986697916,2678
43462,-37.6875636064041,144.88263213818,2678
43463,-37.6124649231169,145.132149815035,138
43466,-38.2320168247475,145.029502112539,47
43467,-38.2321180134495,145.029625049296,46
43469,-37.5397161085599,143.820067525024,857
43472,-37.8196806632923,144.952215015027,3534
43473,-37.8202662130213,144.950131242827,3534
43474,-37.8215267699291,144.945415813883,7037
43475,-37.8207974826721,144.948037581005,3503
43476,-37.8200739804956,144.950477371671,3503
43477,-37.8194710019166,144.952595698152,3503
43480,-37.8208623153316,144.948138029535,3534
43483,-36.3837712502088,145.400299403183,64
43484,-36.3803158145934,145.403447001491,51
43485,-36.3779695277303,145.403929722542,33
43486,-36.3774533924631,145.403081916976,44
43487,-36.3762656024856,145.401891150256,33
43488,-36.373783844806,145.402354365366,33
43489,-36.3717161826179,145.402775641256,33
43490,-36.3685409211379,145.405983784865,33
43491,-36.3706002662969,145.404938581181,33
43492,-36.3664208051788,145.406528605862,33
43493,-36.3641923938792,145.407064457347,33
43494,-36.3624124130611,145.404726793172,44
43495,-36.3640428901905,145.401271825318,12
43496,-36.3640437134519,145.398641463021,12
43497,-36.3619376744802,145.398216523481,12
43498,-36.3576476227686,145.394916490932,12
43499,-36.3563662253794,145.386785090549,21
43501,-36.35660552547,145.381152207113,12
43502,-36.3596016207544,145.380733509136,12
43503,-36.3619664657216,145.382958127446,12
43504,-36.3630108437849,145.381532199995,12
43505,-36.3636296541312,145.377975132752,12
43506,-36.347513299069,145.370119355668,24
43507,-36.3614614709227,145.370341151188,12
43508,-36.3597240635392,145.373821147796,12
43509,-36.362414810085,145.374812806281,12
43510,-36.3634124637478,145.37791276892,12
43511,-36.3627615328305,145.381760270274,12
43512,-36.3619912384996,145.382790436643,12
43513,-36.359699542162,145.380642321113,12
43514,-36.3563994619395,145.381245630531,12
43515,-36.3575756458784,145.389568563157,21
43517,-36.3574945708978,145.3949307788,12
43518,-36.3639657433725,145.398877116867,12
43519,-36.3639556047563,145.401485376154,12
43521,-36.3641994739849,145.406919420658,33
43522,-36.3661946158858,145.406466343945,33
43523,-36.3684221307223,145.405863600815,33
43524,-36.3704930165751,145.40500764985,33
43525,-36.3716963705733,145.402642286816,33
43526,-36.3737371456954,145.402232704448,33
43527,-36.3757951963067,145.401767009089,33
43528,-36.3773555293298,145.403853091285,44
